Class,Subclass,Address,Name,LibName,Type,Min Value,Max Value,Default,Units
Calibration,Voltage,0x9180,Cell 1 Gain,Cell1Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x9182,Cell 2 Gain,Cell2Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x9184,Cell 3 Gain,Cell3Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x9186,Cell 4 Gain,Cell4Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x9188,Cell 5 Gain,Cell5Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x918A,Cell 6 Gain,Cell6Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x918C,Cell 7 Gain,Cell7Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x918E,Cell 8 Gain,Cell8Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x9190,Cell 9 Gain,Cell9Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x9192,Cell 10 Gain,Cell10Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x9194,Cell 11 Gain,Cell11Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x9196,Cell 12 Gain,Cell12Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x9198,Cell 13 Gain,Cell13Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x919A,Cell 14 Gain,Cell14Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x919C,Cell 15 Gain,Cell15Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x919E,Cell 16 Gain,Cell16Gain,I2,-32767,32767,0,—
Calibration,Voltage,0x91A0,Pack Gain,PackGain,U2,0,65535,0,—
Calibration,Voltage,0x91A2,TOS Gain,TOSGain,U2,0,65535,0,—
Calibration,Voltage,0x91A4,LD Gain,LDGain,U2,0,65535,0,—
Calibration,Voltage,0x91A6,ADC Gain,ADCGain,I2,-32767,32767,0,—
Calibration,Current,0x91A8,CC Gain,CCGain,F4,1.00E-02,10.00E+02,7.4768,—
